timestamp,T_horno1,T_horno2,T_omega1,T_omega2,T_cond1,T_cond2,P_mezcla,P_H2,P_salida,MFC_O2,MFC_CO2,MFC_N2,MFC_H2
2025-09-16 13:20:39,254.0,373.0,26.0,29.0,383.0,424.0,4.8,5.5,-3.0,18.1,23.6,27.0,29.6
2025-09-16 13:20:40,269.0,401.0,26.0,29.0,413.0,448.0,5.0,5.6,-3.0,17.8,22.9,26.0,27.5
2025-09-16 13:20:41,277.0,413.0,26.0,29.0,426.0,465.0,5.4,6.0,-3.0,18.2,23.4,26.7,27.6
2025-09-16 13:20:42,330.0,484.0,26.0,29.0,507.0,548.0,7.0,7.5,-3.0,20.2,26.7,30.7,31.0
2025-09-16 13:20:43,339.0,491.0,26.0,29.0,513.0,556.0,7.2,7.7,-3.0,20.2,26.7,31.0,31.4
2025-09-16 13:20:44,345.0,500.0,26.0,29.0,523.0,566.0,7.4,7.9,-3.0,20.5,27.1,31.4,31.7
2025-09-16 13:20:45,355.0,519.0,26.0,29.0,548.0,595.0,8.1,8.6,-3.0,21.6,28.7,33.4,33.9
2025-09-16 13:20:46,357.0,519.0,26.0,29.0,546.0,594.0,8.1,8.6,-3.0,21.5,28.7,33.6,34.1
2025-09-16 13:20:47,343.0,500.0,26.0,29.0,526.0,574.0,7.7,8.2,-3.0,21.2,28.3,33.1,34.3
2025-09-16 13:20:48,343.0,500.0,26.0,29.0,526.0,573.0,7.6,8.2,-3.0,21.2,28.2,33.1,34.3
2025-09-16 13:20:49,340.0,498.0,26.0,29.0,523.0,571.0,7.6,8.1,-3.0,21.1,28.1,32.9,34.2
2025-09-16 13:20:50,313.0,462.0,26.0,29.0,485.0,533.0,6.9,7.6,-3.0,20.4,27.1,31.5,33.3
2025-09-16 13:20:51,313.0,462.0,26.0,29.0,485.0,533.0,6.9,7.6,-3.0,20.4,27.1,31.5,33.3
2025-09-16 13:20:52,315.0,465.0,26.0,29.0,489.0,536.0,6.9,7.6,-3.0,20.5,27.1,31.6,33.4
2025-09-16 13:20:53,270.0,397.0,26.0,29.0,414.0,460.0,5.5,6.3,-3.0,19.0,25.2,29.1,31.8
2025-09-16 13:20:54,271.0,402.0,26.0,29.0,421.0,467.0,5.7,6.4,-3.0,19.3,25.6,29.6,32.1
2025-09-16 13:20:55,254.0,372.0,26.0,29.0,382.0,419.0,4.5,5.2,-3.0,17.8,23.0,26.4,28.9
2025-09-16 13:20:56,278.0,418.0,26.0,29.0,438.0,485.0,6.0,6.7,-3.0,19.7,26.3,30.4,32.5
2025-09-16 13:20:57,254.0,371.0,26.0,29.0,381.0,421.0,4.7,5.4,-3.0,18.1,23.4,26.9,29.5
2025-09-16 13:20:58,251.0,372.0,26.0,29.0,385.0,429.0,4.8,5.6,-3.0,18.3,23.7,27.2,29.9
2025-09-16 15:35:32,444.0,564.0,-1.0,-1.0,575.0,611.0,8.1,8.6,-3.0,20.5,27.1,32.5,33.0
2025-09-16 15:35:33,442.0,566.0,-1.0,0.0,575.0,613.0,8.2,8.6,-3.0,21.5,28.1,33.3,33.6
2025-09-16 15:35:34,317.0,487.0,-1.0,-1.0,512.0,560.0,7.4,7.9,-3.0,20.5,27.1,32.0,33.2
2025-09-16 15:35:35,463.0,575.0,-1.0,-1.0,580.0,618.0,8.3,8.7,-3.0,22.1,28.7,33.8,34.1
2025-09-16 15:35:36,460.0,575.0,-1.0,-1.0,582.0,618.0,8.2,8.6,-3.0,21.3,27.9,33.0,33.4
2025-09-16 15:35:37,460.0,576.0,-1.0,-1.0,583.0,620.0,8.2,8.7,-3.0,21.4,28.0,33.2,33.5
2025-09-16 15:35:38,460.0,576.0,-1.0,-1.0,583.0,620.0,8.2,8.7,-3.0,21.4,28.0,33.2,33.5
2025-09-16 15:35:39,460.0,576.0,-1.0,-1.0,583.0,620.0,8.2,8.7,-3.0,21.4,28.0,33.2,33.5
2025-09-16 15:35:40,336.0,480.0,-1.0,-1.0,503.0,545.0,6.8,7.4,-3.0,15.2,21.4,27.1,28.4
2025-09-16 15:35:41,336.0,480.0,-1.0,-1.0,503.0,545.0,6.8,7.4,-3.0,15.2,21.4,27.1,28.4
2025-09-16 15:35:42,460.0,576.0,-1.0,-1.0,580.0,618.0,8.2,8.7,-3.0,22.3,28.8,33.8,33.9
2025-09-16 15:35:43,456.0,574.0,-1.0,-1.0,580.0,616.0,8.2,8.7,-3.0,21.4,28.0,33.2,33.5
